브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,24S,7APQV0143,Inner,폴로 티셔츠,7APQV0143K0001,69000,2200,CQ231000687,KRW,(주)다올인터내셔널,2023-10-25,B,내수/원화/세금계산서/DDP,내수,1302.77,2.241378,2.754132,1.06926,0.248701,2.000353,0.243328,1.20973,0.895016,2920.0,3588.0,1393.0,324.0,2606.0,317.0,1576.0,1166.0
I,24S,7APQV0243,Inner,폴로 티셔츠,7APQV0243K0001,79000,1100,CQ240101227,KRW,(주)다올인터내셔널,2024-01-29,B,내수/원화/세금계산서/DDP,내수,1302.77,3.991495,1.602739,0.309341,0.248701,2.800187,0.074457,1.305679,1.223547,5200.0,2088.0,403.0,324.0,3648.0,97.0,1701.0,1594.0
I,24S,7APTB0141,Bottom,팬츠,7APTB0141C0001,69000,2879,CQ231000504,KRW,㈜에이플러스 스포츠,2023-10-23,L,직송/원화/세금계산서/FOB,직송,1302.77,3.854863,0.885805,0.659364,0.248701,2.40027,0.176547,1.169815,0.412199,5022.0,1154.0,859.0,324.0,3127.0,230.0,1524.0,537.0
I,24S,7APTB0141,Bottom,팬츠,7APTB0141K0001,69000,2700,CQ231000503,KRW,㈜에이플러스 스포츠,2023-10-23,B,내수/원화/세금계산서/DDP,내수,1302.77,3.854863,0.885805,0.659364,0.248701,2.40027,0.158892,1.169815,0.412199,5022.0,1154.0,859.0,324.0,3127.0,207.0,1524.0,537.0
I,24S,7APTB0241,Bottom,팬츠,7APTB0241C0001,59000,5513,CQ231000208,USD,SHANGHAI HE YUN IMPORT & EXPORT CO. LTD.,2023-10-12,C,소싱대행(지사 벤더),중국생산,1302.77,4.406764,0.984057,0.485888,0.251771,2.040268,0.092111,0.0,0.454416,5741.0,1282.0,633.0,328.0,2658.0,120.0,0.0,592.0
I,24S,7APTB0241,Bottom,팬츠,7APTB0241K0001,59000,3890,CQ231000209,USD,SHANGHAI HE YUN IMPORT & EXPORT CO. LTD.,2023-10-12,A,한국수입/외화/FOB,내수,1302.77,4.406764,0.984057,0.485888,0.271729,2.040268,0.074457,0.0,0.268658,5741.0,1282.0,633.0,354.0,2658.0,97.0,0.0,350.0
I,24S,7APTM0141,Bottom,팬츠,7APTM0141C0001,89000,736,CQ231000785,KRW,주식회사 신즈디자인하우스,2023-10-26,L,직송/원화/세금계산서/FOB,직송,1302.77,4.756787,0.156589,0.731518,0.417572,2.800187,0.782947,1.266532,1.61195,6197.0,204.0,953.0,544.0,3648.0,1020.0,1650.0,2100.0
I,24S,7APTM0141,Bottom,팬츠,7APTM0141K0001,89000,1600,CQ231000784,KRW,주식회사 신즈디자인하우스,2023-10-26,B,내수/원화/세금계산서/DDP,내수,1302.77,4.756787,0.156589,0.731518,0.417572,2.800187,0.765292,1.266532,1.61195,6197.0,204.0,953.0,544.0,3648.0,997.0,1650.0,2100.0
I,24S,7APTMD141,Bottom,팬츠,7APTMD141C0001,99000,2056,CQ231000787,KRW,주식회사 신즈디자인하우스,2023-10-26,L,직송/원화/세금계산서/FOB,직송,1302.77,7.125586,0.0,0.714631,0.259447,3.600021,0.667808,1.716343,0.518127,9283.0,0.0,931.0,338.0,4690.0,870.0,2236.0,675.0
I,24S,7APTMD141,Bottom,팬츠,7APTMD141K0001,99000,2000,CQ231000786,KRW,주식회사 신즈디자인하우스,2023-10-26,B,내수/원화/세금계산서/DDP,내수,1302.77,7.125586,0.0,0.714631,0.259447,3.600021,0.650153,1.716343,0.518127,9283.0,0.0,931.0,338.0,4690.0,847.0,2236.0,675.0
I,24S,7APTMD241,Bottom,팬츠,7APTMD241C0001,79000,4564,CQ231000637,KRW,(주)다올인터내셔널,2023-10-24,B,내수/원화/세금계산서/DDP,내수,1302.77,4.822033,1.602739,0.397614,0.228743,2.40027,0.092111,1.383207,0.435994,6282.0,2088.0,518.0,298.0,3127.0,120.0,1802.0,568.0
I,24S,7APTMD241,Bottom,팬츠,7APTMD241K0001,79000,2000,CQ231000636,KRW,(주)다올인터내셔널,2023-10-24,B,내수/원화/세금계산서/DDP,내수,1302.77,4.822033,1.602739,0.397614,0.248701,2.40027,0.189596,1.383207,1.108407,6282.0,2088.0,518.0,324.0,3127.0,247.0,1802.0,1444.0
I,24S,7APTV0141,Bottom,팬츠,7APTV0141C0001,79000,3967,CQ231000564,KRW,㈜에이플러스 스포츠,2023-10-24,L,직송/원화/세금계산서/FOB,직송,1302.77,3.888637,0.870453,0.819024,0.248701,2.299715,0.161195,1.181329,0.396847,5066.0,1134.0,1067.0,324.0,2996.0,210.0,1539.0,517.0
I,24S,7APTV0141,Bottom,팬츠,7APTV0141K0001,79000,5500,CQ231000563,KRW,㈜에이플러스 스포츠,2023-10-24,B,내수/원화/세금계산서/DDP,내수,1302.77,3.888637,0.870453,0.819024,0.248701,2.299715,0.14354,1.181329,0.396847,5066.0,1134.0,1067.0,324.0,2996.0,187.0,1539.0,517.0
I,24S,7AS1C0243,Wear_etc,반팔티 & 스웨트팬츠,7AS1C0243C0001,79000,140,CQ240400297,KRW,(주)다올인터내셔널,2024-04-04,L,직송/원화/세금계산서/FOB,직송,1302.77,3.983819,2.226026,0.914973,0.358467,3.200104,0.092111,1.549007,0.575696,5190.0,2900.0,1192.0,467.0,4169.0,120.0,2018.0,750.0
I,24S,7AS1C0243,Wear_etc,반팔티 & 스웨트팬츠,7AS1C0243K0001,79000,1600,CQ240400165,KRW,(주)다올인터내셔널,2024-04-02,B,내수/원화/세금계산서/DDP,내수,1302.77,3.983819,2.226026,0.914973,0.378424,3.200104,0.327763,1.549007,1.202822,5190.0,2900.0,1192.0,493.0,4169.0,427.0,2018.0,1567.0
I,24S,7AS1C0243,Wear_etc,반팔티 & 스웨트팬츠,7AS1C0243K0002,79000,2000,CQ240500352,KRW,(주)다올인터내셔널,2024-05-10,B,내수/원화/세금계산서/DDP,내수,1302.77,3.983819,2.226026,0.914973,0.378424,3.200104,0.074457,1.549007,0.943375,5190.0,2900.0,1192.0,493.0,4169.0,97.0,2018.0,1229.0
I,24S,7AS1CP143,Wear_etc,반팔티 & 스웨트팬츠,7AS1CP143C0001,99000,245,CQ231100929,KRW,세아상역,2023-11-15,L,직송/원화/세금계산서/FOB,직송,1302.77,3.854863,1.511395,0.805207,0.337742,2.899975,0.092111,1.360946,0.474374,5022.0,1969.0,1049.0,440.0,3778.0,120.0,1773.0,618.0
I,24S,7AS1CP143,Wear_etc,반팔티 & 스웨트팬츠,7AS1CP143K0001,99000,9108,CQ231100930,KRW,세아상역,2023-11-15,B,내수/원화/세금계산서/DDP,내수,1302.77,3.854863,1.511395,0.805207,0.337742,2.899975,0.074457,1.360946,0.474374,5022.0,1969.0,1049.0,440.0,3778.0,97.0,1773.0,618.0
I,24S,7AS1CP243,Wear_etc,반팔티 & 스웨트팬츠,7AS1CP243C0001,99000,1100,CQ231200210,KRW,주식회사 신즈디자인하우스,2023-12-05,L,직송/원화/세금계산서/FOB,직송,1302.77,6.001827,1.370157,0.993268,0.495099,5.099903,0.092111,2.019543,0.809813,7819.0,1785.0,1294.0,645.0,6644.0,120.0,2631.0,1055.0
I,24S,7AS1CP243,Wear_etc,반팔티 & 스웨트팬츠,7AS1CP243K0001,99000,4350,CQ231200209,KRW,주식회사 신즈디자인하우스,2023-12-05,B,내수/원화/세금계산서/DDP,내수,1302.77,6.001827,1.370157,0.993268,0.495099,5.099903,0.074457,2.019543,0.809813,7819.0,1785.0,1294.0,645.0,6644.0,97.0,2631.0,1055.0
I,24S,7AS1CP343,Wear_etc,반팔티 & 스웨트팬츠,7AS1CP343C0001,89000,270,CQ240400554,KRW,(주)다올인터내셔널,2024-04-11,L,직송/원화/세금계산서/FOB,직송,1302.77,4.487362,1.918988,1.001712,0.378424,4.200281,0.092111,1.740906,0.428318,5846.0,2500.0,1305.0,493.0,5472.0,120.0,2268.0,558.0
