브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,23N,7ASHM533N,Shoes,신발,7ASHM533NC0001,129000,1880,CQ230600087,USD,오주무역(주),2023-06-02,M,직송/외화/세금계산서/FOB,직송,1300.0,5.641538,0.361538,2.721538,0.152308,5.446154,0.013846,0.85,0.796154,7334.0,470.0,3538.0,198.0,7080.0,18.0,1105.0,1035.0
I,23N,7ASOB013N,Acc_etc,양말,7ASOB013NC0001,7900,4711,CQ221100702,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.38797,0.0,0.110526,0.215038,0.300752,0.013534,0.095489,0.010526,516.0,0.0,147.0,286.0,400.0,18.0,127.0,14.0
I,23N,7ASOB013N,Acc_etc,양말,7ASOB013NK0001,7900,11580,CQ221100701,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.38797,0.0,0.110526,0.215038,0.300752,0.013534,0.095489,0.010526,516.0,0.0,147.0,286.0,400.0,18.0,127.0,14.0
I,23N,7ASOB023N,Acc_etc,양말,7ASOB023NC0001,7900,4059,CQ221100703,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.38797,0.0,0.110526,0.215038,0.300752,0.013534,0.095489,0.010526,516.0,0.0,147.0,286.0,400.0,18.0,127.0,14.0
I,23N,7ASOB023N,Acc_etc,양말,7ASOB023NK0001,7900,7664,CQ221100704,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.38797,0.0,0.110526,0.215038,0.300752,0.013534,0.095489,0.010526,516.0,0.0,147.0,286.0,400.0,18.0,127.0,14.0
I,23N,7ASOB043N,Acc_etc,양말,7ASOB043NC0001,15000,1801,CQ221100706,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,1.058647,0.0,0.498496,0.215038,0.639098,0.013534,0.26391,0.010526,1408.0,0.0,663.0,286.0,850.0,18.0,351.0,14.0
I,23N,7ASOB043N,Acc_etc,양말,7ASOB043NK0001,15000,1120,CQ221100705,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,1.058647,0.0,0.498496,0.215038,0.639098,0.013534,0.26391,0.010526,1408.0,0.0,663.0,286.0,850.0,18.0,351.0,14.0
I,23N,7ASOB043N,Acc_etc,양말,7ASOB043NK0002,15000,1000,CQ230300211,KRW,준무역,2023-03-23,B,내수/원화/세금계산서/DDP,내수,1330.0,1.058647,0.0,0.498496,0.215038,0.639098,0.013534,0.26391,0.010526,1408.0,0.0,663.0,286.0,850.0,18.0,351.0,14.0
I,23N,7ASOB043N,Acc_etc,양말,7ASOB043NK0003,15000,1000,CQ230700880,KRW,준무역,2023-07-19,B,내수/원화/세금계산서/DDP,내수,1330.0,1.061654,0.0,0.499248,0.119549,0.639098,0.037594,0.26391,0.006015,1412.0,0.0,664.0,159.0,850.0,50.0,351.0,8.0
I,23N,7ASOB053N,Acc_etc,양말,7ASOB053NK0001,6900,3028,CQ221100707,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.354887,0.18797,0.110526,0.215038,0.300752,0.013534,0.114286,0.010526,472.0,250.0,147.0,286.0,400.0,18.0,152.0,14.0
